Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,state Code,state name
Wardha,8,Ramdas Chandrabhanj,Bharatiya Janata Party,Charulata Rao Tokas,Indian National Congress,187191,Result Declared,S13,Maharashtra
Yavatmal-Washim,14,Bhavana Pundl,Shivsena,Thakre Manikrao Govindrao,Indian National Congress,117939,Result Declared,S13,Maharashtra
BALAGHAT,15,DR DHAL SINGH BISEN,Bharatiya Janata Party,MADHU BHAGAT,Indian National Congress,242066,Result Declared,S12,Madhya Pradesh
BETUL,29,DURGA DAS (D.D.) UIKEY,Bharatiya Janata Party,RAMU TEKAM (ADVOCATE),Indian National Congress,360241,Result Declared,S12,Madhya Pradesh
BHIND,2,SANDHYA RAY,Bharatiya Janata Party,DEVASHISH,Indian National Congress,199885,Result Declared,S12,Madhya Pradesh
BHOPAL,19,SADHVI PRAGYA SINGH THAKUR,Bharatiya Janata Party,DIGVIJAYA SINGH,Indian National Congress,364822,Result Declared,S12,Madhya Pradesh
CHHINDWARA,16,NAKUL KAMAL NATH,Indian National Congress,NATHANSAHA KAWRETI,Bharatiya Janata Party,37536,Result Declared,S12,Madhya Pradesh
DAMOH,7,PRAHALAD SINGH PATEL,Bharatiya Janata Party,PRATAP SINGH,Indian National Congress,353411,Result Declared,S12,Madhya Pradesh
DEWAS,21,MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,PRAHLAD SINGH TIPANYA,Indian National Congress,372249,Result Declared,S12,Madhya Pradesh
DHAR,25,CHATTARSINGH DARBAR,Bharatiya Janata Party,GIRWAL DINESH,Indian National Congress,156029,Result Declared,S12,Madhya Pradesh
GUNA,4,"KRISHNA PAL SINGH ""Dr. K. P. YADAV""",Bharatiya Janata Party,JYOTIRADITYA M. SCINDIA,Indian National Congress,125549,Result Declared,S12,Madhya Pradesh
GWALIOR,3,VIVEK NARAYAN SHEJWALKAR,Bharatiya Janata Party,ASHOK SINGH,Indian National Congress,146842,Result Declared,S12,Madhya Pradesh
HOSHANGABAD,17,UDAY PRATAP SINGH,Bharatiya Janata Party,SHAILENDRA DIWAN CHANDARBHAN SINGH,Indian National Congress,553682,Result Declared,S12,Madhya Pradesh
INDORE,26,SHANKAR LALWANI,Bharatiya Janata Party,PANKAJ SANGHVI,Indian National Congress,547754,Result Declared,S12,Madhya Pradesh
JABALPUR,13,RAKESH SINGH,Bharatiya Janata Party,Pt. VIVEK KRISHNA TANKHA,Indian National Congress,454744,Result Declared,S12,Madhya Pradesh
KHAJURAHO,8,V.D. SHARMA (VISHNU DATT SHARMA),Bharatiya Janata Party,MAHARANI KAVITA SINGH NATIRAJA,Indian National Congress,492382,Result Declared,S12,Madhya Pradesh
KHANDWA,28,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),Bharatiya Janata Party,ARUN SUBHASH CHANDRA YADAV,Indian National Congress,273343,Result Declared,S12,Madhya Pradesh
KHARGONE,27,GAJENDRA UMRAO SINGH PATEL,Bharatiya Janata Party,DR. GOVIND SUBHAN MUJALDA,Indian National Congress,202510,Result Declared,S12,Madhya Pradesh
MANDLA,14,FAGGAN SINGH KULASTE,Bharatiya Janata Party,KAMAL SINGH MARAVI,Indian National Congress,97674,Result Declared,S12,Madhya Pradesh
MANDSOUR,23,Sudheer Gupta,Bharatiya Janata Party,Meenakshi Natarajan,Indian National Congress,376734,Result Declared,S12,Madhya Pradesh
MORENA,1,NARENDRA SINGH TOMAR,Bharatiya Janata Party,RAMNIWAS RAWAT,Indian National Congress,113341,Result Declared,S12,Madhya Pradesh
RAJGARH,20,RODMAL NAGAR,Bharatiya Janata Party,MONA SUSTANI,Indian National Congress,431019,Result Declared,S12,Madhya Pradesh
RATLAM,24,GUMAN SINGH DAMOR,Bharatiya Janata Party,KANTILAL BHURIA,Indian National Congress,90636,Result Declared,S12,Madhya Pradesh
REWA,10,JANARDAN MISHRA,Bharatiya Janata Party,"SIDDHARTH TIWARI ""RAJ""",Indian National Congress,312807,Result Declared,S12,Madhya Pradesh
SAGAR,5,RAJBAHADUR SINGH,Bharatiya Janata Party,PRABHU SINGH THAKUR,Indian National Congress,305542,Result Declared,S12,Madhya Pradesh
SATNA,9,GANESH SINGH,Bharatiya Janata Party,RAJARAM TRIPATHI,Indian National Congress,231473,Result Declared,S12,Madhya Pradesh
SHAHDOL,12,HIMADRI SINGH,Bharatiya Janata Party,PRAMILA SINGH,Indian National Congress,403333,Result Declared,S12,Madhya Pradesh
SIDHI,11,R,Bharatiya Janata Party,Ajay Arjun Singh,Indian National Congress,286524,Result Declared,S12,Madhya Pradesh
TIKAMGARH,6,Dr V,Bharatiya Janata Party,Ahirwar Kiran,Indian National Congress,348059,Result Declared,S12,Madhya Pradesh
UJJAIN,22,ANIL FIROJIYA,Bharatiya Janata Party,BABULAL MALVIYA,Indian National Congress,365637,Result Declared,S12,Madhya Pradesh
VIDISHA,18,Ramakant Bhargava,Bharatiya Janata Party,Shailendra Rameshchandra Patel,Indian National Congress,503084,Result Declared,S12,Madhya Pradesh
Alappuzha,15,Adv. A M ARIFF,Communist Party of India (Marxist),Adv. SHANIMOL OSMAN,Indian National Congress,10474,Result Declared,S11,Kerala
Alathur,9,RAMYA HARIDAS,Indian National Congress,DR. P.K.BIJU,Communist Party of India (Marxist),158968,Result Declared,S11,Kerala
Attingal,19,Adv. ADOOR PRAKASH,Indian National Congress,Dr. A. SAMPATH,Communist Party of India (Marxist),38247,Result Declared,S11,Kerala
Chalakudy,11,BENNY BEHANAN,Indian National Congress,INNOCENT,Communist Party of India (Marxist),132274,Result Declared,S11,Kerala
Ernakulam,12,HIBI EDEN,Indian National Congress,P RAJEEV,Communist Party of India (Marxist),169153,Result Declared,S11,Kerala
Idukki,13,Adv. DEAN KURIAKOSE,Indian National Congress,"Adv, JOICE GEORGE",Independent,171053,Result Declared,S11,Kerala
Kannur,2,K. SUDHAKARAN,Indian National Congress,P. K. SREEMATHI TEACHER,Communist Party of India (Marxist),94559,Result Declared,S11,Kerala
Kasaragod,1,Rajmohan Unn,Indian National Congress,K. P. Sathishchandran,Communist Party of India (Marxist),40438,Result Declared,S11,Kerala
Kollam,18,N.K.Premachandran,Revolutionary Socialist Party,K.N.Balagopal,Communist Party of India (Marxist),148856,Result Declared,S11,Kerala
Kottayam,14,Thomas Chazh,Kerala Congress (M),V.N. Vasavan,Communist Party of India (Marxist),106259,Result Declared,S11,Kerala
Kozhikode,5,M.K.RAGHAVAN,Indian National Congress,A.PRADEEP KUMAR,Communist Party of India (Marxist),85225,Result Declared,S11,Kerala
Malappuram,6,P.K. Kunhal,Indian Union Muslim League,V.P. Sanu,Communist Party of India (Marxist),260153,Result Declared,S11,Kerala
Mavelikkara,16,KODIKUNNIL SURESH,Indian National Congress,CHITTAYAM GOPAKUMAR,Communist Party of India,61138,Result Declared,S11,Kerala
Palakkad,8,V K SREEKANDAN,Indian National Congress,M B RAJESH,Communist Party of India (Marxist),11637,Result Declared,S11,Kerala
Pathanamthitta,17,ANTO ANTONY,Indian National Congress,VEENA GEORGE,Communist Party of India (Marxist),44243,Result Declared,S11,Kerala
Ponnani,7,E. T. Mohammed Basheer,Indian Union Muslim League,P.V. Anvar Puthan Veetil,Independent,193273,Result Declared,S11,Kerala
Thiruvananthapuram,20,Dr. SHASHI THAROOR,Indian National Congress,KUMMANAM RAJASEKHARAN,Bharatiya Janata Party,99989,Result Declared,S11,Kerala
Thrissur,10,T. N. PRATHAPAN,Indian National Congress,RAJAJI MATHEW THOMAS,Communist Party of India,93633,Result Declared,S11,Kerala
Vadakara,3,K. MURALEEDHARAN,Indian National Congress,P.JAYARAJAN,Communist Party of India (Marxist),84663,Result Declared,S11,Kerala
Wayanad,4,Rahul Gandh,Indian National Congress,P.P. Suneer,Communist Party of India,431770,Result Declared,S11,Kerala
Bagalkot,3,Gadd,Bharatiya Janata Party,Veena Kashappanavar,Indian National Congress,168187,Result Declared,S10,Karnataka
Bangalore central,25,P. C. Mohan,Bharatiya Janata Party,Rizwan Arshad,Indian National Congress,70968,Result Declared,S10,Karnataka
Bangalore North,24,D.V. Sadananda Gowda,Bharatiya Janata Party,Krishna Byregowda,Indian National Congress,147518,Result Declared,S10,Karnataka
Bangalore Rural,23,D.K. SURESH,Indian National Congress,ASHWATHNARAYANGOWDA,Bharatiya Janata Party,206870,Result Declared,S10,Karnataka
Bangalore South,26,TEJASVI SURYA,Bharatiya Janata Party,B.K.HARIPRASAD,Indian National Congress,331192,Result Declared,S10,Karnataka
Belgaum,2,ANGADI SURESH CHANNABASAPPA,Bharatiya Janata Party,Dr.SADHUNAVAR,Indian National Congress,391304,Result Declared,S10,Karnataka
Bellary,9,Y. DEVENDRAPPA,Bharatiya Janata Party,V. S. UGRAPPA,Indian National Congress,55707,Result Declared,S10,Karnataka
Bidar,7,BHAGWANTH KHUBA,Bharatiya Janata Party,ESHWAR B. KHANDRE,Indian National Congress,116834,Result Declared,S10,Karnataka
Bijapur,4,JIGAJINAGI RAMESH CHANDAPPA,Bharatiya Janata Party,DR. SUNITA DEVANAND CHAVAN,Janata Dal (Secular),258038,Result Declared,S10,Karnataka
Chamarajanagar,22,V. SRINIVAS PRASAD,Bharatiya Janata Party,R. DHRUVANARAYANA,Indian National Congress,1817,Result Declared,S10,Karnataka
Chikkballapur,27,B.N.Bache Gowda,Bharatiya Janata Party,M.Veerappa Moily,Indian National Congress,182110,Result Declared,S10,Karnataka
Chikkodi,1,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,PRAKASH BABANNA HUKKERI,Indian National Congress,118877,Result Declared,S10,Karnataka
Chitradurga,18,A NARAYANASWAMY,Bharatiya Janata Party,B N CHANDRAPPA,Indian National Congress,80178,Result Declared,S10,Karnataka
Dakshina Kannada,17,NALIN KUMAR KATEEL,Bharatiya Janata Party,MITHUN M RAI,Indian National Congress,274621,Result Declared,S10,Karnataka
Davanagere,13,G M SIDDESHWAR,Bharatiya Janata Party,H B MANJAPPA,Indian National Congress,169702,Result Declared,S10,Karnataka
Dharwad,11,Pralhad Josh,Bharatiya Janata Party,Vinay Kulkarni,Indian National Congress,205072,Result Declared,S10,Karnataka
Gulbarga,5,DR. UMESH G JADHAV,Bharatiya Janata Party,MALLIKARJUN KHARGE,Indian National Congress,95452,Result Declared,S10,Karnataka
Hassan,16,PRAJWAL REVANNA,Janata Dal (Secular),MANJU A,Bharatiya Janata Party,141324,Result Declared,S10,Karnataka
Haveri,10,UDASI. S.C.,Bharatiya Janata Party,D.R. PATIL,Indian National Congress,140882,Result Declared,S10,Karnataka
Kolar,28,S. MUNISWAMY,Bharatiya Janata Party,K.H. MUNIYAPPA,Indian National Congress,210021,Result Declared,S10,Karnataka
Koppal,8,KARADI SANGANNA AMARAPPA,Bharatiya Janata Party,K.RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,38397,Result Declared,S10,Karnataka
Mandya,20,SUMALATHA AMBAREESH,Independent,NIKHIL KUMARASWAMY,Janata Dal (Secular),125876,Result Declared,S10,Karnataka
Mysore,21,PRATHAP SIMHA,Bharatiya Janata Party,C.H.VIJAYASHANKAR,Indian National Congress,138647,Result Declared,S10,Karnataka
Raichur,6,RAJA AMARESHWARA NAIK,Bharatiya Janata Party,B. V NAIK,Indian National Congress,117716,Result Declared,S10,Karnataka
Shimoga,14,B.Y.RAGHAVENDRA.,Bharatiya Janata Party,S.MADHUBANGARAPPA,Janata Dal (Secular),223360,Result Declared,S10,Karnataka
Tumkur,19,G. S. BASAVARAJ,Bharatiya Janata Party,H. D. DEVEGOWDA,Janata Dal (Secular),13339,Result Declared,S10,Karnataka
Udupi Chikmagalur,15,SHOBHA KARANDLAJE,Bharatiya Janata Party,PRAMOD MADHWARAJ,Janata Dal (Secular),349599,Result Declared,S10,Karnataka
Uttara Kannada,12,ANANTKUMAR HEGDE,Bharatiya Janata Party,ANAND ASNOTIKAR,Janata Dal (Secular),479649,Result Declared,S10,Karnataka
Anantnag,3,HASNAIN MASOODI,Jammu & Kashmir National Conference,GHULAM AHMAD MIR,Indian National Congress,6676,Result Declared,S09,Jammu & Kashmir
Baramulla,1,MOHAMMAD AKBAR LONE,Jammu & Kashmir National Conference,RAJA AIJAZ ALI,Jammu & Kashmir People Conference,30233,Result Declared,S09,Jammu & Kashmir
Jammu,6,Jugal K,Bharatiya Janata Party,Raman Bhalla,Indian National Congress,302875,Result Declared,S09,Jammu & Kashmir
Ladakh,4,Jamyang Tser,Bharatiya Janata Party,Sajjad Hussain,Independent,10930,Result Declared,S09,Jammu & Kashmir
Srinagar,2,Farooq Abdullah,Jammu & Kashmir National Conference,Aga Syed Mohsin,Peoples Democratic Party,70050,Result Declared,S09,Jammu & Kashmir
Udhampur,5,DR. JITENDRA SINGH,Bharatiya Janata Party,VIKRAMADITYA SINGH,Indian National Congress,357252,Result Declared,S09,Jammu & Kashmir
Hamirpur,3,ANURAG SINGH THAKUR,Bharatiya Janata Party,RAM LAL THAKUR,Indian National Congress,399572,Result Declared,S08,Himachal Pradesh
Kangra,1,K,Bharatiya Janata Party,Pawan Kajal,Indian National Congress,477623,Result Declared,S08,Himachal Pradesh
Mandi,2,RAM SWAROOP SHARMA,Bharatiya Janata Party,AASHRAY SHARMA,Indian National Congress,405459,Result Declared,S08,Himachal Pradesh
Shimla,4,SURESH KUMAR KASHYAP,Bharatiya Janata Party,DHANI RAM SHANDIL,Indian National Congress,327515,Result Declared,S08,Himachal Pradesh
Ambala,1,RATTAN LAL KATARIA,Bharatiya Janata Party,SELJA,Indian National Congress,342345,Result Declared,S07,Haryana
Bhiwani-Mahendragarh,8,Dharamb,Bharatiya Janata Party,Shruti Choudhry,Indian National Congress,444463,Result Declared,S07,Haryana
Faridabad,10,KRISHAN PAL,Bharatiya Janata Party,AVTAR SINGH BHADANA,Indian National Congress,638239,Result Declared,S07,Haryana
Gurgaon,9,RAO INDERJIT SINGH,Bharatiya Janata Party,CAPT. AJAY SINGH,Indian National Congress,386256,Result Declared,S07,Haryana
Hisar,4,BRIJENDRA SINGH,Bharatiya Janata Party,DUSHYANT CHAUTALA,Jannayak Janta Party,314068,Result Declared,S07,Haryana
Karnal,5,Sanjay Bhat,Bharatiya Janata Party,Kuldip Sharma,Indian National Congress,656142,Result Declared,S07,Haryana
Kurukshetra,2,NAYAB SINGH,Bharatiya Janata Party,NIRMAL SINGH,Indian National Congress,384591,Result Declared,S07,Haryana
Rohtak,7,ARVIND KUMAR SHARMA,Bharatiya Janata Party,DEEPENDER SINGH HOODA,Indian National Congress,7503,Result Declared,S07,Haryana
Sirsa,3,Sun,Bharatiya Janata Party,Ashok Tanwar,Indian National Congress,309918,Result Declared,S07,Haryana
Sonipat,6,RAMESH CHANDER KAUSHIK,Bharatiya Janata Party,BHUPINDER SINGH HOODA,Indian National Congress,164864,Result Declared,S07,Haryana
Ahmedabad East,7,Patel Hasmukhbha,Bharatiya Janata Party,Gitaben Patel,Indian National Congress,434330,Result Declared,S06,Gujarat
Ahmedabad West,8,DR. KIRIT P. SOLANKI,Bharatiya Janata Party,RAJU PARMAR,Indian National Congress,321546,Result Declared,S06,Gujarat
Amreli,14,Kachhad,Bharatiya Janata Party,Paresh Dhanani,Indian National Congress,201431,Result Declared,S06,Gujarat
Anand,16,PATEL MITESH RAMESHBHAI (BAKABHAI),Bharatiya Janata Party,BHARATBHAI MADHAVSINH SOLANKI,Indian National Congress,197718,Result Declared,S06,Gujarat
Banaskantha,2,PARBATBHAI SAVABHAI PATEL,Bharatiya Janata Party,PARTHIBHAI GALBABHAI BHATOL,Indian National Congress,368296,Result Declared,S06,Gujarat
Bardoli,23,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,CHAUDHARI DR. TUSHARBHAI AMARSINHBHAI,Indian National Congress,215447,Result Declared,S06,Gujarat
Bharuch,22,Mansukhbha,Bharatiya Janata Party,Sherkhan Abdulsakur Pathan,Indian National Congress,334214,Result Declared,S06,Gujarat
Bhavnagar,15,DR.BHARATIBEN DHIRUBHAI SHIYAL,Bharatiya Janata Party,PATEL MANHARBHAI NAGJIBHAI (VASANI),Indian National Congress,329519,Result Declared,S06,Gujarat
Chhota Udaipur,21,RATHVA GITABEN VAJESINGBHAI,Bharatiya Janata Party,RATHAVA RANJITSINH MOHANSINH,Indian National Congress,377943,Result Declared,S06,Gujarat
Dahod,19,JASHVANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,KATARA BABUBHAI KHIMABHAI,Indian National Congress,127596,Result Declared,S06,Gujarat
Gandhinagar,6,AMIT SHAH,Bharatiya Janata Party,Dr. C. J. CHAVDA,Indian National Congress,557014,Result Declared,S06,Gujarat
Jamnagar,12,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,KANDORIYA MULUBHAI RANMALBHAI,Indian National Congress,236804,Result Declared,S06,Gujarat
Junagadh,13,CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,VANSH PUNJABHAI BHIMABHAI,Indian National Congress,150185,Result Declared,S06,Gujarat
Kachchh,1,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,NARESH NARANBHAI MAHESHWARI,Indian National Congress,305513,Result Declared,S06,Gujarat
Kheda,17,Chauhan Devus,Bharatiya Janata Party,Bimal Shah,Indian National Congress,367145,Result Declared,S06,Gujarat
Mahesana,4,SHARDABEN ANILBHAI PATEL,Bharatiya Janata Party,A. J. Patel,Indian National Congress,281519,Result Declared,S06,Gujarat
Navsari,25,C. R. Pat,Bharatiya Janata Party,PATEL DHARMESHBHAI BHIMBHAI,Indian National Congress,689668,Result Declared,S06,Gujarat
Panchmahal,18,Ratans,Bharatiya Janata Party,Khant Vechatbhai Kuberbhai,Indian National Congress,428541,Result Declared,S06,Gujarat
Patan,3,DABHI BHARATSINHJI SHANKARJI,Bharatiya Janata Party,JAGDISH THAKOR,Indian National Congress,193879,Result Declared,S06,Gujarat
Porbandar,11,RAMESHBHAI LAVJIBHAI DHADUK,Bharatiya Janata Party,LALIT VASOYA,Indian National Congress,229823,Result Declared,S06,Gujarat
Rajkot,10,KUNDARIA MOHANBHAI KALYANJIBHAI,Bharatiya Janata Party,KAGATHARA LALITBHAI,Indian National Congress,368407,Result Declared,S06,Gujarat
Sabarkantha,5,RATHOD DIPSINH SHANKARSINH,Bharatiya Janata Party,THAKOR RAJENDRASINH SHIVSINH,Indian National Congress,268987,Result Declared,S06,Gujarat
Surat,24,Darshana V,Bharatiya Janata Party,Ashok Patel (Adhevada),Indian National Congress,548230,Result Declared,S06,Gujarat
Surendranagar,9,Dr. MUNJAPARA MAHENDRABHAI,Bharatiya Janata Party,KOLI PATEL SOMABHAI GANDALAL,Indian National Congress,277437,Result Declared,S06,Gujarat
Vadodara,20,RANJANBEN BHATT,Bharatiya Janata Party,PRASHANT PATEL (TIKO),Indian National Congress,589177,Result Declared,S06,Gujarat
Valsad,26,Dr.K.C.PATEL,Bharatiya Janata Party,CHAUDHARI JITUBHAI HARJIBHAI,Indian National Congress,353797,Result Declared,S06,Gujarat
North Goa,1,SHRIPAD YESSO NAIK,Bharatiya Janata Party,GIRISH RAYA CHODANKAR,Indian National Congress,80247,Result Declared,S05,Goa
South Goa,2,COSME FRANCISCO CAITANO SARDINHA,Indian National Congress,ADV. NARENDRA SAWAIKAR,Bharatiya Janata Party,9755,Result Declared,S05,Goa
Araria,9,PRADEEP KUMAR SINGH,Bharatiya Janata Party,SARFARAZ ALAM,Rashtriya Janata Dal,137241,Result Declared,S04,Bihar
Arrah,32,R. K. S,Bharatiya Janata Party,Raju Yadav,Communist Party of India (Marxist-Leninist) (Liberation),147285,Result Declared,S04,Bihar
Aurangabad,37,SUSHIL KUMAR SINGH,Bharatiya Janata Party,UPENDRA PRASAD,Hindustani Awam Morcha (Secular),72607,Result Declared,S04,Bihar
Banka,27,GIRIDHARI YADAV,Janata Dal (United),JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,200532,Result Declared,S04,Bihar
Begusarai,24,G,Bharatiya Janata Party,Kanhaiya Kumar,Communist Party of India,422217,Result Declared,S04,Bihar
Bhagalpur,26,AJAY KUMAR MANDAL,Janata Dal (United),SHAILESH KUMAR ALIAS VULO MANDAL,Rashtriya Janata Dal,277630,Result Declared,S04,Bihar
Buxar,33,Ashw,Bharatiya Janata Party,Jagadanand Singh,Rashtriya Janata Dal,117609,Result Declared,S04,Bihar
Darbhanga,14,Gopal Jee Thakur,Bharatiya Janata Party,Abdul Bari Siddiqui,Rashtriya Janata Dal,267979,Result Declared,S04,Bihar
Gaya (SC),38,V,Janata Dal (United),Jitan Ram Manjhi,Hindustani Awam Morcha (Secular),152426,Result Declared,S04,Bihar
Gopalganj (SC),17,DR. ALOK KUMAR SUMAN,Janata Dal (United),SURENDRA RAM,Rashtriya Janata Dal,286434,Result Declared,S04,Bihar
Hajipur (SC),21,PASHU PATI KUMAR PARAS,Lok Jan Shakti Party,SHIV CHANDRA RAM,Rashtriya Janata Dal,205449,Result Declared,S04,Bihar
Jahanabad,36,CHANDESHWAR PRASAD,Janata Dal (United),SURENDRA PRASAD YADAV,Rashtriya Janata Dal,1751,Result Declared,S04,Bihar
Jamui (SC),40,CHIRAG KUMAR PASWAN,Lok Jan Shakti Party,BHUDEO CHOUDHARY,Rashtriya Lok Samta Party,241049,Result Declared,S04,Bihar
Jhanjharpur,7,Rampr,Janata Dal (United),GULAB YADAV,Rashtriya Janata Dal,322951,Result Declared,S04,Bihar
Karakat,35,MAHABALI SINGH,Janata Dal (United),UPENDRA KUSHWAHA,Rashtriya Lok Samta Party,84542,Result Declared,S04,Bihar
Katihar,11,DULAL CHANDRA GOSWAMI,Janata Dal (United),TARIQ ANWAR,Indian National Congress,57203,Result Declared,S04,Bihar
Khagaria,25,Choudhary Mehboob Al,Lok Jan Shakti Party,Mukesh Sahani,Vikassheel Insaan Party,248570,Result Declared,S04,Bihar
Kishanganj,10,Dr. Mohammad Jawed,Indian National Congress,Syed Mahmood Ashraf,Janata Dal (United),34466,Result Declared,S04,Bihar
Madhepura,13,D,Janata Dal (United),Sharad Yadav,Rashtriya Janata Dal,301527,Result Declared,S04,Bihar
Madhubani,6,ASHOK KUMAR YADAV,Bharatiya Janata Party,BADRI KUMAR PURBEY,Vikassheel Insaan Party,454940,Result Declared,S04,Bihar
Maharajganj,19,Janardan S,Bharatiya Janata Party,Randhir Kumar Singh,Rashtriya Janata Dal,230772,Result Declared,S04,Bihar
Munger,28,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal (United),NILAM DEVI,Indian National Congress,167937,Result Declared,S04,Bihar
Muzaffarpur,15,Ajay N,Bharatiya Janata Party,Raj Bhushan Choudhary,Vikassheel Insaan Party,409988,Result Declared,S04,Bihar
Nalanda,29,Kaushlendra Kumar,Janata Dal (United),Ashok Kumar Azad,Hindustani Awam Morcha (Secular),256137,Result Declared,S04,Bihar
Nawada,39,Chandan S,Lok Jan Shakti Party,Vibha Devi,Rashtriya Janata Dal,148072,Result Declared,S04,Bihar
Paschim Champaran,2,DR. SANJAY JAISWAL,Bharatiya Janata Party,BRIJESH KUMAR KUSHWAHA,Rashtriya Lok Samta Party,293906,Result Declared,S04,Bihar
Pataliputra,31,RAM KRIPAL YADAV,Bharatiya Janata Party,MISHA BHARTI,Rashtriya Janata Dal,39321,Result Declared,S04,Bihar
Patna Sahib,30,RAVI SHANKAR PRASAD,Bharatiya Janata Party,SHATRUGHAN SINHA,Indian National Congress,284657,Result Declared,S04,Bihar
Purnia,12,SANTOSH KUMAR,Janata Dal (United),UDAY SINGH ALIAS PAPPU SINGH,Indian National Congress,263461,Result Declared,S04,Bihar
Purvi Champaran,3,RADHA MOHAN SINGH,Bharatiya Janata Party,AAKASH KUMAR SINGH,Rashtriya Lok Samta Party,293648,Result Declared,S04,Bihar
Samastipur (SC),23,Ramchandra Paswan,Lok Jan Shakti Party,Dr. Ashok Kumar,Indian National Congress,251643,Result Declared,S04,Bihar
Saran,20,Raj,Bharatiya Janata Party,Chandrika Roy,Rashtriya Janata Dal,138429,Result Declared,S04,Bihar
Sasaram (SC),34,CHHEDI PASWAN,Bharatiya Janata Party,MEIRA KUMAR,Indian National Congress,165745,Result Declared,S04,Bihar
Sheohar,4,RAMA DEVI,Bharatiya Janata Party,SYED FAISAL ALI,Rashtriya Janata Dal,340360,Result Declared,S04,Bihar
Sitamarhi,5,Sun,Janata Dal (United),Arjun Ray,Rashtriya Janata Dal,250539,Result Declared,S04,Bihar
Siwan,18,Kav,Janata Dal (United),Hena Shahab,Rashtriya Janata Dal,116958,Result Declared,S04,Bihar
Supaul,8,D,Janata Dal (United),Ranjeet Ranjan,Indian National Congress,266853,Result Declared,S04,Bihar
Ujiarpur,22,N,Bharatiya Janata Party,Upendra Kushwaha,Rashtriya Lok Samta Party,277278,Result Declared,S04,Bihar
Vaishali,16,Veena Dev,Lok Jan Shakti Party,Raghuvansh Prasad Singh,Rashtriya Janata Dal,234584,Result Declared,S04,Bihar
Valmiki Nagar,1,BAIDYANATH PRASAD MAHTO,Janata Dal (United),SHASHWAT KEDAR,Indian National Congress,354616,Result Declared,S04,Bihar
Autonomous District,3,HOREN SING BEY,Bharatiya Janata Party,BIREN SINGH ENGTI,Indian National Congress,239626,Result Declared,S03,Assam
Barpeta,6,Abdul Khaleque,Indian National Congress,Kumar Deepak Das,Asom Gana Parishad,140307,Result Declared,S03,Assam
Dhubri,4,BADRUDDIN AJMAL,All India United Democratic Front,ABU TAHER BEPARI,Indian National Congress,226258,Result Declared,S03,Assam
Dibrugarh,13,RAMESWAR TELI,Bharatiya Janata Party,PABAN SINGH GHATOWAR,Indian National Congress,364566,Result Declared,S03,Assam
Gauhati,7,QUEEN OJA,Bharatiya Janata Party,BOBBEETA SHARMA,Indian National Congress,345606,Result Declared,S03,Assam
Jorhat,12,TOPON KUMAR GOGOI,Bharatiya Janata Party,SUSHANTA BORGOHAIN,Indian National Congress,82653,Result Declared,S03,Assam
Kaliabor,11,Gaurav Gogo,Indian National Congress,Moni Madhab Mahanta,Asom Gana Parishad,209994,Result Declared,S03,Assam
Karimganj,1,KRIPANATH MALLAH,Bharatiya Janata Party,RADHESHYAM BISWAS,All India United Democratic Front,38389,Result Declared,S03,Assam
Kokrajhar,5,Naba Kumar Saran,Independent,Pramila Rani Brahma,Bodoland Peoples Front,37786,Result Declared,S03,Assam
Lakhimpur,14,PRADAN BARUAH,Bharatiya Janata Party,ANIL BORGOHAIN,Indian National Congress,350551,Result Declared,S03,Assam
Mangaldoi,8,DILIP SAIKIA,Bharatiya Janata Party,BHUBANESWAR KALITA,Indian National Congress,138545,Result Declared,S03,Assam
Nowgong,10,Pradyut Bordolo,Indian National Congress,Sri Rupak Sharma,Bharatiya Janata Party,16752,Result Declared,S03,Assam
Silchar,2,RAJDEEP ROY,Bharatiya Janata Party,SUSHMITA DEV,Indian National Congress,81596,Result Declared,S03,Assam
Tezpur,9,PALLAB LOCHAN DAS,Bharatiya Janata Party,M.G.V.K. BHANU,Indian National Congress,242841,Result Declared,S03,Assam
ARUNACHAL EAST,2,Tap,Bharatiya Janata Party,Lowangcha Wanglat,Indian National Congress,69948,Result Declared,S02,Arunanchal Pradesh
ARUNACHAL WEST,1,KIREN RIJIJU,Bharatiya Janata Party,NABAM TUKI,Indian National Congress,174843,Result Declared,S02,Arunanchal Pradesh
Amalapuram,7,CHINTA ANURADHA,Yuvajana Sramika Rythu Congress Party,GANTI HARISH MADHUR (BALAYOGI),Telugu Desam,39966,Result Declared,S01,Andhra Pradesh
Anakapalli,5,Dr.Beesett,Yuvajana Sramika Rythu Congress Party,ADARI ANAND KUMAR,Telugu Desam,89192,Result Declared,S01,Andhra Pradesh
